Montana,Billings,-4.272001872658765
Montana,Great Falls,-15.511742863607127
Montana,Helena,2.604859711701776
Montana,Livingston,-8.506090255139044
Montana,Missoula,-7.925842487587355
California,Beverly Hills,-10.116229935509974
California,Alameda,-7.721722605740251
California,Alhambra,-12.028290295875822
California,Anaheim,-11.382512385135119
California,Arcadia,-8.559375165618484
California,Arcata,-6.536920783773759
California,Arroyo Grande,-5.989782967687561
California,Atherton,-6.912134257955354
California,Auburn,-9.787223487268673
California,Bakersfield,-10.941202561076196
California,Belmont,-9.420021296481849
California,Bishop,-12.489995996796797
California,Blythe,-2.97008898375597
California,Brea,-6.4597762869482835
California,Brentwood,9.71849424729894
California,Buena Park,2.0182500670960812
California,Burlingame,-8.591463786806065
California,Calabasas,-15.772572150986171
California,Camarillo,-7.308037178846821
California,Carlsbad,-13.310013415050992
California,Carmichael,0.0
California,Castaic,-13.893476318421042
California,Cerritos,-3.1396087108337016
California,Chico,-7.553657701321102
California,Chino,-2.072252583357243
California,Chino Hills,-16.51224293264445
California,Chula Vista,-11.786944102779621
California,Claremont,-13.218074746346383
California,Colton,-11.316244576022022
California,Corona,4.8465545399893015
California,Culver City,-13.443297586529875
California,Cupertino,-8.298350380252147
California,Cypress,-11.10003352576286
California,Danville,-9.914817444533565
California,Diamond Bar,-9.139872686600876
California,Downey,-10.416595151269657
California,East Palo Alto,-14.106735979665883
California,Eastvale,-9.836927511024104
California,El Monte,-9.17605579756357
California,Encinitas,-10.319883720275147
California,Escondido,-1.2010554926395978
California,Fairfield,-9.513017397229966
California,Fremont,-6.011811291116846
California,Fresno,-4.283407593079953
California,Fullerton,-4.928299712326423
California,Glendale,-3.489402906158827
California,Goleta,-9.8541710711759
California,Granite Bay,-6.70098692779292
California,Grass Valley,-6.625660524339727
California,Hawthorne,-8.25594386619982
California,Hayward,-12.518563992904477
California,Hesperia,-9.873539091609876
California,Hughson,-5.652559470844033
California,Indio,-1.0
California,Irvine,-7.649910966752763
California,La Cañada Flintridge,-7.005740503330109
California,La Mirada,-2.406588179698942
California,La Puente,-16.053452380510972
California,Laguna Beach,-12.494498789467308
California,Laguna Niguel,-7.902063571982459
California,Lancaster,-4.57582580723762
California,Larkspur,-12.794783066492283
California,Livermore,-9.516854854193662
California,Lompoc,-5.367960506561128
California,Long Beach,-8.923287674978921
California,Los Alamitos,-7.589384032976589
California,Los Altos Hills,-8.57354215012675
California,Los Angeles,-6.370078558576051
California,Los Banos,3.25832267687942
California,Maywood,-10.40984335663498
California,Menifee,-10.260218955911993
California,Modesto,-11.166779147173061
California,Montclair,-8.39866060750165
California,Moraga,-10.397733269461048
California,Mountain View,-10.924453497110338
California,Newport Beach,-10.27131929208707
California,Oakland,-13.876515211630212
California,Ojai,19.747548371042587
California,Oxnard,-8.81453459778465
California,Palo Alto,-6.810260809597503
California,Palos Verdes Estates,-7.622317378738715
California,Pasadena,-6.867458861700828
California,Petaluma,-10.01807741036173
California,Pico Rivera,12.811567039203284
California,Piedmont,-9.846581198076954
California,Pinole,-15.59695916309122
California,Pleasanton,-8.026943265142602
California,PORTERVILLE,-10.424330514074594
California,Poway,-5.4028482516881065
California,Rancho Cucamonga,-11.11283124801674
California,Rancho Santa Margarita,-6.3175645324461565
California,Redondo Beach,-8.756069323617762
California,Redwood City,-2.44081220457279
California,Ridgecrest,-4.577663159298639
California,Ripon,-2.5619003363388924
California,Riverside,-10.074890184034555
California,Rocklin,-3.26565352755063
California,Roseville,-9.653601732179071
California,Ross,-8.5091127622097
California,Sacramento,-10.603117727378693
California,Salinas,-9.931832879575959
California,San Anselmo,-14.008191270500852
California,San Diego,-10.355650261942177
California,San Dimas,3.2015621187164243
California,San Francisco,-7.809062005742899
California,San Gabriel,-11.494926417047363
California,San Jose,-9.64625079685697
California,San Juan Capistrano,-15.631332050297782
California,San Leandro,-15.217581936694147
California,San Luis Obispo,-7.161991178929141
California,San Marcos,-7.5707615225930756
California,San Marino,-6.238806643368052
California,San Rafael,-15.2970299715868
California,San Ramon,-2.262440110777735
California,Sanger,-9.414616295951737
California,Santa Ana,-7.301143879457608
California,Santa Barbara,-15.116165004538832
California,Santa Clara,-12.84981116821658
California,Santa Clarita,-9.71945648438843
California,Santa Cruz,-10.365726017123402
California,Santa Maria,2.0115567201535303
California,Selma,-13.343831012380084
California,Simi Valley,1.1086027241532468
California,Sonoma,-10.06919394324425
California,South El Monte,-5.091470997960896
California,Stanford,-13.200308638367064
California,Stevenson Ranch,-11.03333585095641
California,Stockton,-3.161734950359245
California,Taft,-4.001644398836164
California,Thousand Oaks,-9.325788814316763
California,Torrance,-7.226997472753101
California,Tracy,-8.197346539386439
California,Truckee,-15.689543164346192
California,Turlock,1.3061305509941101
California,Vallejo,8.0
California,Walnut,-10.976554559605669
California,West Covina,-13.6973507648066
California,Wildomar,-3.2007811546558447
California,Woodacre,-8.294074189845825
California,Woodside,-13.650959513974609
California,Yorba Linda,-8.186903237206645
North Dakota,Bismarck,-0.909822937597079
North Dakota,Fargo,-15.244737499511217
North Dakota,Horace,2.382435728409058
North Dakota,West Fargo,-5.809618461367895
North Dakota,Williston,4.041451884327381
South Dakota,Rapid City,0.0
South Dakota,Sioux Falls,-8.060625547097837
Nebraska,Alliance,-5.794234884325699
Nebraska,Bellevue,-9.904569327468982
Nebraska,Bennington,-1.121605991424796
Nebraska,Columbus,-15.0
Nebraska,Gretna,6.117344584205206
Nebraska,Lincoln,-10.111771286880984
Nebraska,Murray,-11.374313166077325
Nebraska,North Platte,-8.764987164850842
